author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
a728391,2,0,1,FP,0.4124555661770722,0.1330126093082226,0.27944295686884957,0.27944295686884957,0.4124555661770722,43,43,0.671875,0.671875,21.0
taichung.news88,0,0,1,FP,0.4020261812865674,0.3377087362054896,0.06431744508107784,0.06431744508107784,0.4020261812865674,64,64,1.0,1.0,0.0
jie__rou__comic,1,0,1,FP,0.3678870093191569,0.3226178336968301,0.045269175622326796,0.045269175622326796,0.3678870093191569,64,64,1.0,1.0,0.0
oioi_writing,2,0,1,FP,0.2845620005662211,0.1330126093082226,0.15154939125799852,0.15154939125799852,0.2845620005662211,23,23,0.359375,0.359375,41.0
yutingchouart,2,0,1,FP,0.2787596376514369,0.1330126093082226,0.14574702834321432,0.14574702834321432,0.2787596376514369,64,64,1.0,1.0,0.0
agoodday88,2,0,1,FP,0.2507059013775959,0.1330126093082226,0.11769329206937332,0.11769329206937332,0.2507059013775959,64,64,1.0,1.0,0.0
yellow_lu4novia,2,0,1,FP,0.1868684951893957,0.1330126093082226,0.0538558858811731,0.0538558858811731,0.1868684951893957,64,64,1.0,1.0,0.0
jiminin185,2,0,1,FP,0.1841496804727434,0.1330126093082226,0.05113707116452082,0.05113707116452082,0.1841496804727434,64,64,1.0,1.0,0.0
qqshanny,2,0,1,FP,0.1660790133792482,0.1330126093082226,0.033066404071025624,0.033066404071025624,0.1660790133792482,64,64,1.0,1.0,0.0
hi_lo_memes,2,0,1,FP,0.1639468968125946,0.1330126093082226,0.03093428750437202,0.03093428750437202,0.1639468968125946,64,64,1.0,1.0,0.0
mr_bigbigsmart,2,0,1,FP,0.1450358028556884,0.1330126093082226,0.01202319354746581,0.01202319354746581,0.1450358028556884,64,64,1.0,1.0,0.0
pei.words,2,0,1,FP,0.1418922006165956,0.1330126093082226,0.008879591308373014,0.008879591308373014,0.1418922006165956,40,40,0.625,0.625,24.0
a900243b,2,0,1,FP,0.1364877972878248,0.1330126093082226,0.0034751879796022234,0.0034751879796022234,0.1364877972878248,64,64,1.0,1.0,0.0
timton_footew,2,0,1,FP,0.1362131164505838,0.1330126093082226,0.0032005071423611975,0.0032005071423611975,0.1362131164505838,27,28,0.421875,0.4375,36.0
janniedudu,2,0,1,FP,0.1341895207519592,0.1330126093082226,0.0011769114437366057,0.0011769114437366057,0.1341895207519592,49,49,0.765625,0.765625,15.0
